Date,Content,Video title,Video publish time,Duration,Watch time (hours)
2024-03-31,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-01,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-02,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-03,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-04,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-05,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-06,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-07,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-08,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-09,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-10,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-11,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-12,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-13,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-14,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-15,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-16,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-17,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-18,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-19,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-20,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-21,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-22,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-23,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-24,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-25,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-26,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-27,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-28,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-29,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-04-30,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-01,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-02,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-03,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-04,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-05,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-06,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-07,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-08,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-09,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-10,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-11,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-12,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-13,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-14,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-15,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-16,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-17,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-18,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-19,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-20,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-21,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-22,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-23,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-24,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-25,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0
2024-05-26,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,44.5246
2024-05-27,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,19.5065
2024-05-28,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,9.7064
2024-05-29,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,5.657
2024-05-30,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,4.2676
2024-05-31,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,3.8787
2024-06-01,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,2.5928
2024-06-02,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,5.4878
2024-06-03,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,2.6592
